kind,pid,seq,monotonic,engine,wave,step,waiting,running,published,branch,applied_output,queue_occupancy,scheduled_new_req_ids,num_scheduled_tokens
engine_iteration,230,0,2600621.869035304,0,0,0,0,1,True,applied_after_scheduling,True,0,"[""cmpl-dpp1g3-w0-0""]",64
engine_iteration,230,1,2600622.258915875,0,0,1,0,1,False,applied_after_scheduling,True,0,[],1
engine_iteration,230,2,2600622.269827185,0,0,2,0,1,False,applied_after_scheduling,True,0,[],1
engine_iteration,230,3,2600622.280285247,0,0,3,0,0,True,applied_after_scheduling,True,0,[],1
engine_iteration,230,4,2600622.280671437,0,0,4,0,0,False,applied_after_scheduling,True,0,[],0
engine_iteration,230,5,2600622.406781164,0,0,17,0,1,True,applied_after_scheduling,True,0,"[""cmpl-dpp1g3-w1-0""]",64
engine_iteration,230,6,2600622.416991461,0,0,18,0,1,False,applied_after_scheduling,True,0,[],1
engine_iteration,230,7,2600622.427178537,0,0,19,0,1,False,applied_after_scheduling,True,0,[],1
engine_iteration,230,8,2600622.438471509,0,0,20,0,0,True,applied_after_scheduling,True,0,[],1
engine_iteration,230,9,2600622.438798327,0,0,21,0,0,False,applied_after_scheduling,True,0,[],0
engine_iteration,230,10,2600623.405685188,0,1,0,0,1,True,applied_after_scheduling,True,0,"[""cmpl-dpp1g3-w2-0""]",64
engine_iteration,230,11,2600623.41612451,0,1,1,0,1,False,applied_after_scheduling,True,0,[],1
engine_iteration,230,12,2600623.426310993,0,1,2,0,1,False,applied_after_scheduling,True,0,[],1
engine_iteration,230,13,2600623.436572159,0,1,3,0,0,True,applied_after_scheduling,True,0,[],1
engine_iteration,230,14,2600623.436913484,0,1,4,0,0,False,applied_after_scheduling,True,0,[],0
engine_iteration,230,15,2600631.467515412,0,2,0,0,1,True,applied_after_scheduling,True,0,"[""cmpl-dpp1g3-b5-0""]",32
engine_iteration,230,16,2600631.674567746,0,2,1,0,3,True,applied_after_scheduling,True,0,"[""cmpl-dpp1g3-b3-0"", ""cmpl-dpp1g3-b2-0""]",32768
engine_iteration,230,17,2600631.698853632,0,2,2,0,4,True,applied_after_scheduling,True,0,"[""cmpl-dpp1g3-b6-0""]",67
engine_iteration,230,18,2600631.710296958,0,2,3,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,19,2600631.720699673,0,2,4,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,20,2600631.731311177,0,2,5,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,21,2600631.742079694,0,2,6,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,22,2600631.752544726,0,2,7,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,23,2600631.762961252,0,2,8,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,24,2600631.77349851,0,2,9,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,25,2600631.784044183,0,2,10,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,26,2600631.794612364,0,2,11,0,4,False,applied_after_scheduling,True,0,[],4
engine_iteration,230,27,2600631.805155986,0,2,12,0,4,False,applied_after_scheduling,True,0,[],4
