arrived_at,num_prefill_tokens,num_decode_tokens
0.0,64,4
1.0,64,4
2.0,64,4
10.0,32,64
10.0,32768,64
10.0,32,64
10.0,32,64
10.0,32,64
10.15,32,64
30.0,128,64
30.06,512,32
30.12,256,96
30.18,1024,48
30.24,128,64
30.3,512,32
30.36,256,96
30.42,1024,48
30.48,128,64
30.54,512,32
30.6,256,96
30.66,1024,48
30.72,128,64
30.78,512,32
30.84,256,96
30.9,1024,48
30.96,128,64
31.02,512,32
31.08,256,96
31.14,1024,48
31.2,128,64
31.26,512,32
31.32,256,96
31.38,1024,48
39.38,1024,8
43.38,4096,8
47.38,8192,8
51.38,16384,8
55.38,32768,8
