request_id,arrived_at,num_prefill_tokens,num_decode_tokens
pf4096_dc1024:0,0.0,4096,1024
pf4096_dc1024:1,0.1394695984353605,4096,1024
pf4096_dc1024:2,0.24519164866650506,4096,1024
pf4096_dc1024:3,0.31248321598759043,4096,1024
pf4096_dc1024:4,0.8038411056189159,4096,1024
pf4096_dc1024:5,1.0199291991842783,4096,1024
pf4096_dc1024:6,1.025896073192656,4096,1024
pf4096_dc1024:7,1.356952136864616,4096,1024
pf4096_dc1024:8,3.24038704705775,4096,1024
pf4096_dc1024:9,5.3142484733350654,4096,1024
pf4096_dc1024:10,5.579498001056458,4096,1024
pf4096_dc1024:11,6.5930851363594645,4096,1024
pf4096_dc1024:12,7.647941403311525,4096,1024
pf4096_dc1024:13,7.77405519982716,4096,1024
pf4096_dc1024:14,8.476999899982102,4096,1024
pf4096_dc1024:15,9.089052386519116,4096,1024
pf4096_dc1024:16,9.244738402920921,4096,1024
pf4096_dc1024:17,9.287440685638783,4096,1024
pf4096_dc1024:18,9.94316304734161,4096,1024
pf4096_dc1024:19,11.1078063221435,4096,1024
pf4096_dc1024:20,11.146954163745653,4096,1024
pf4096_dc1024:21,11.308077211373663,4096,1024
pf4096_dc1024:22,11.40353528481197,4096,1024
pf4096_dc1024:23,12.293560236217036,4096,1024
pf4096_dc1024:24,12.447377356138947,4096,1024
pf4096_dc1024:25,14.209492697170441,4096,1024
pf4096_dc1024:26,14.27248025992363,4096,1024
pf4096_dc1024:27,15.242668624385429,4096,1024
pf4096_dc1024:28,16.15921977167755,4096,1024
pf4096_dc1024:29,16.326672146577753,4096,1024
pf4096_dc1024:30,17.045295640177876,4096,1024
pf4096_dc1024:31,17.18231614404406,4096,1024
pf4096_dc1024:32,19.004298099655983,4096,1024
pf4096_dc1024:33,19.698666458661304,4096,1024
pf4096_dc1024:34,20.076595888133227,4096,1024
pf4096_dc1024:35,20.28592656953938,4096,1024
pf4096_dc1024:36,21.169882137799945,4096,1024
pf4096_dc1024:37,21.3826360169934,4096,1024
pf4096_dc1024:38,21.44258178261569,4096,1024
pf4096_dc1024:39,21.530126437153886,4096,1024
pf4096_dc1024:40,21.65844488405126,4096,1024
pf4096_dc1024:41,21.835228025255738,4096,1024
pf4096_dc1024:42,21.854399434671215,4096,1024
pf4096_dc1024:43,22.045926868039263,4096,1024
pf4096_dc1024:44,23.44722796246555,4096,1024
pf4096_dc1024:45,23.62339439460993,4096,1024
pf4096_dc1024:46,23.945014788628626,4096,1024
pf4096_dc1024:47,24.550888896051227,4096,1024
pf4096_dc1024:48,25.593726532799803,4096,1024
pf4096_dc1024:49,26.018121823257204,4096,1024
pf4096_dc1024:50,26.423189940241084,4096,1024
pf4096_dc1024:51,26.78511742615385,4096,1024
pf4096_dc1024:52,27.22727234322496,4096,1024
pf4096_dc1024:53,27.336933920933888,4096,1024
pf4096_dc1024:54,27.533653646419765,4096,1024
pf4096_dc1024:55,27.814412843951732,4096,1024
pf4096_dc1024:56,27.91616982643818,4096,1024
pf4096_dc1024:57,28.75755685667493,4096,1024
pf4096_dc1024:58,28.87319117878392,4096,1024
pf4096_dc1024:59,29.381941311837863,4096,1024
pf4096_dc1024:60,29.855405949005963,4096,1024
pf4096_dc1024:61,30.13526456088238,4096,1024
pf4096_dc1024:62,30.28071301534327,4096,1024
pf4096_dc1024:63,30.34514629850438,4096,1024
pf4096_dc1024:64,30.898838948725235,4096,1024
pf4096_dc1024:65,31.31648037211652,4096,1024
pf4096_dc1024:66,31.919253151669515,4096,1024
pf4096_dc1024:67,31.986574956760712,4096,1024
pf4096_dc1024:68,32.87850276652575,4096,1024
pf4096_dc1024:69,34.27793135643245,4096,1024
pf4096_dc1024:70,34.57040647217522,4096,1024
pf4096_dc1024:71,34.641625111420616,4096,1024
pf4096_dc1024:72,34.66097975128705,4096,1024
pf4096_dc1024:73,34.67268929900176,4096,1024
pf4096_dc1024:74,34.952493466706784,4096,1024
pf4096_dc1024:75,35.33201428532532,4096,1024
pf4096_dc1024:76,35.38403230265417,4096,1024
pf4096_dc1024:77,37.73808266585447,4096,1024
pf4096_dc1024:78,38.43474855532294,4096,1024
pf4096_dc1024:79,38.876523395090615,4096,1024
pf4096_dc1024:80,39.90206451285434,4096,1024
pf4096_dc1024:81,40.6689554689745,4096,1024
pf4096_dc1024:82,40.78641334709632,4096,1024
pf4096_dc1024:83,40.84318312170809,4096,1024
pf4096_dc1024:84,40.8438393330155,4096,1024
pf4096_dc1024:85,40.87361274205425,4096,1024
pf4096_dc1024:86,41.167889287863275,4096,1024
pf4096_dc1024:87,41.40188539176718,4096,1024
pf4096_dc1024:88,41.67434274303424,4096,1024
pf4096_dc1024:89,41.96850899839434,4096,1024
pf4096_dc1024:90,42.206217258010696,4096,1024
pf4096_dc1024:91,42.30904053285519,4096,1024
pf4096_dc1024:92,42.52656549058795,4096,1024
pf4096_dc1024:93,42.550959480706176,4096,1024
pf4096_dc1024:94,42.97123666903399,4096,1024
pf4096_dc1024:95,43.183220839471204,4096,1024
pf4096_dc1024:96,43.25638193933987,4096,1024
pf4096_dc1024:97,44.7463752544508,4096,1024
pf4096_dc1024:98,45.99945284664151,4096,1024
pf4096_dc1024:99,47.14003370610788,4096,1024
